epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.05005,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.002,0.002,0.002
2,1.86067,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199751,0.00199751,0.00199751
3,2.65279,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199501,0.00199501,0.00199501
4,3.44719,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199252,0.00199252,0.00199252
5,4.22223,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199002,0.00199002,0.00199002
6,5.00896,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198752,0.00198752,0.00198752
7,5.81108,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198503,0.00198503,0.00198503
8,6.61377,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198254,0.00198254,0.00198254
9,7.41265,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198004,0.00198004,0.00198004
10,8.19333,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197755,0.00197755,0.00197755
11,8.99282,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197505,0.00197505,0.00197505
12,9.76168,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197255,0.00197255,0.00197255
13,10.5681,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197006,0.00197006,0.00197006
14,11.3642,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196757,0.00196757,0.00196757
15,12.1663,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196507,0.00196507,0.00196507
16,13.0083,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196257,0.00196257,0.00196257
17,13.7772,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196008,0.00196008,0.00196008
18,14.5518,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00195758,0.00195758,0.00195758
19,15.4116,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00195509,0.00195509,0.00195509
20,16.2209,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00195259,0.00195259,0.00195259
21,17.0343,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.0019501,0.0019501,0.0019501
22,17.8426,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00194761,0.00194761,0.00194761
23,18.6485,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00194511,0.00194511,0.00194511
24,19.4595,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00194261,0.00194261,0.00194261
25,20.2857,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00194012,0.00194012,0.00194012
26,21.0972,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00193762,0.00193762,0.00193762
27,21.9123,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00193513,0.00193513,0.00193513
28,22.7057,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00193264,0.00193264,0.00193264
29,23.5105,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00193014,0.00193014,0.00193014
30,24.3268,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00192765,0.00192765,0.00192765
31,25.1427,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00192515,0.00192515,0.00192515
32,25.9378,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00192266,0.00192266,0.00192266
33,26.7332,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00192016,0.00192016,0.00192016
34,27.5516,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00191767,0.00191767,0.00191767
35,28.3805,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00191517,0.00191517,0.00191517
36,29.1765,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00191268,0.00191268,0.00191268
37,29.984,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00191018,0.00191018,0.00191018
38,30.8147,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00190769,0.00190769,0.00190769
39,31.6491,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00190519,0.00190519,0.00190519
40,32.4511,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.0019027,0.0019027,0.0019027
41,33.303,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.0019002,0.0019002,0.0019002
42,34.1024,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.0018977,0.0018977,0.0018977
43,34.9089,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00189521,0.00189521,0.00189521
44,35.6839,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00189272,0.00189272,0.00189272
45,36.5162,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00189022,0.00189022,0.00189022
46,37.3249,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00188772,0.00188772,0.00188772
47,38.1486,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00188523,0.00188523,0.00188523
48,38.961,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00188274,0.00188274,0.00188274
49,39.7896,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00188024,0.00188024,0.00188024
50,40.5952,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00187775,0.00187775,0.00187775
51,41.3939,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00187525,0.00187525,0.00187525
52,42.202,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00187276,0.00187276,0.00187276
53,43.0117,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00187026,0.00187026,0.00187026
54,43.841,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00186776,0.00186776,0.00186776
