epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93511,3.61224,4.7516,4.90843,0,0,0,0,3.96971,4.15953,4.15897,0,0,0
2,3.41768,3.61224,4.7516,4.90843,0,0,0,0,3.96971,4.15953,4.15897,1.99604e-05,1.99604e-05,1.99604e-05
3,3.89052,3.61224,4.7516,4.90843,0,0,0,0,3.97002,4.15944,4.15909,3.98416e-05,3.98416e-05,3.98416e-05
4,4.32905,2.95196,5.27883,4.92926,0,0,0,0,3.97002,4.15944,4.15909,5.96436e-05,5.96436e-05,5.96436e-05
5,4.76045,2.95196,5.27883,4.92926,0,0,0,0,3.97002,4.15944,4.15909,7.93664e-05,7.93664e-05,7.93664e-05
6,5.18257,2.95196,5.27883,4.92926,0,0,0,0,3.97002,4.15944,4.15909,9.901e-05,9.901e-05,9.901e-05
7,5.6078,2.95196,5.27883,4.92926,0,0,0,0,3.97002,4.15944,4.15909,0.000118574,0.000118574,0.000118574
8,6.06512,2.95196,5.27883,4.92926,0,0,0,0,3.97111,4.15996,4.15948,0.00013806,0.00013806,0.00013806
9,6.52069,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000157466,0.000157466,0.000157466
10,6.93731,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000176792,0.000176792,0.000176792
11,7.38842,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.00019604,0.00019604,0.00019604
12,7.81342,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000215208,0.000215208,0.000215208
13,8.23679,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000234298,0.000234298,0.000234298
14,8.67151,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000253308,0.000253308,0.000253308
15,9.11012,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000272238,0.000272238,0.000272238
16,9.58027,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.00029109,0.00029109,0.00029109
17,10.0504,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000309862,0.000309862,0.000309862
18,10.4967,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000328556,0.000328556,0.000328556
19,10.9757,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.00034717,0.00034717,0.00034717
20,11.4389,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.000365704,0.000365704,0.000365704
21,11.895,2.80922,4.20619,4.74394,0,0,0,0,3.97111,4.15996,4.15948,0.00038416,0.00038416,0.00038416
22,12.3967,2.80922,4.20619,4.74394,0,0,0,0,3.978,4.16929,4.16196,0.000402536,0.000402536,0.000402536
23,12.8197,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000420834,0.000420834,0.000420834
24,13.2353,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000439052,0.000439052,0.000439052
25,13.6681,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00045719,0.00045719,0.00045719
26,14.0953,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00047525,0.00047525,0.00047525
27,14.5139,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00049323,0.00049323,0.00049323
28,14.9484,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000511132,0.000511132,0.000511132
29,15.3895,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000528954,0.000528954,0.000528954
30,15.813,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000546696,0.000546696,0.000546696
31,16.2559,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00056436,0.00056436,0.00056436
32,16.7024,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000581944,0.000581944,0.000581944
33,17.1415,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00059945,0.00059945,0.00059945
34,17.5901,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000616876,0.000616876,0.000616876
35,18.0355,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000634222,0.000634222,0.000634222
36,18.4731,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00065149,0.00065149,0.00065149
37,18.9006,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000668678,0.000668678,0.000668678
38,19.3327,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000685788,0.000685788,0.000685788
39,19.8025,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000702818,0.000702818,0.000702818
40,20.2447,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000719768,0.000719768,0.000719768
41,20.6941,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00073664,0.00073664,0.00073664
42,21.1347,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000753432,0.000753432,0.000753432
43,21.5822,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000770146,0.000770146,0.000770146
44,22.0215,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00078678,0.00078678,0.00078678
45,22.4602,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000803334,0.000803334,0.000803334
46,22.8965,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00081981,0.00081981,0.00081981
47,23.3325,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000836206,0.000836206,0.000836206
48,23.7589,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000852524,0.000852524,0.000852524
49,24.217,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000868762,0.000868762,0.000868762
50,24.6722,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00088492,0.00088492,0.00088492
51,25.1033,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000901,0.000901,0.000901
52,25.5509,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000917,0.000917,0.000917
53,25.9802,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000932922,0.000932922,0.000932922
54,26.4076,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000948764,0.000948764,0.000948764
55,26.8507,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000964526,0.000964526,0.000964526
56,27.3041,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00098021,0.00098021,0.00098021
57,27.7478,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.000995814,0.000995814,0.000995814
58,28.2011,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00101134,0.00101134,0.00101134
59,28.6529,2.48656,3.76996,4.73006,0,0,0,0,3.978,4.16929,4.16196,0.00102679,0.00102679,0.00102679
60,29.1385,2.48656,3.76996,4.73006,0,0,0,0,4.02942,4.24091,4.18319,0.00104215,0.00104215,0.00104215
61,29.6096,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00105744,0.00105744,0.00105744
62,30.0585,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00107265,0.00107265,0.00107265
63,30.4973,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00108778,0.00108778,0.00108778
64,30.9313,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00110283,0.00110283,0.00110283
65,31.3704,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.0011178,0.0011178,0.0011178
66,31.8313,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00113269,0.00113269,0.00113269
67,32.2786,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.0011475,0.0011475,0.0011475
68,32.744,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00116224,0.00116224,0.00116224
69,33.194,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00117689,0.00117689,0.00117689
70,33.6167,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00119146,0.00119146,0.00119146
71,34.0615,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00120596,0.00120596,0.00120596
72,34.5333,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00122038,0.00122038,0.00122038
73,34.9776,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00123471,0.00123471,0.00123471
74,35.4158,2.22984,4.66308,4.12121,0,0,0,0,4.02942,4.24091,4.18319,0.00124897,0.00124897,0.00124897
