epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03621,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.001,0.001,0.001
2,1.82132,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000998751,0.000998751,0.000998751
3,2.65185,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000997503,0.000997503,0.000997503
4,3.46746,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000996254,0.000996254,0.000996254
5,4.26315,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000995005,0.000995005,0.000995005
6,5.05833,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000993756,0.000993756,0.000993756
7,5.85429,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000992508,0.000992508,0.000992508
8,6.66032,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000991259,0.000991259,0.000991259
9,7.45832,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00099001,0.00099001,0.00099001
10,8.25651,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000988761,0.000988761,0.000988761
11,9.07259,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000987513,0.000987513,0.000987513
12,9.86066,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000986264,0.000986264,0.000986264
13,10.6804,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000985015,0.000985015,0.000985015
14,11.5448,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000983766,0.000983766,0.000983766
15,12.3606,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000982517,0.000982517,0.000982517
16,13.1971,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000981269,0.000981269,0.000981269
17,14.0255,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00098002,0.00098002,0.00098002
18,14.8385,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000978771,0.000978771,0.000978771
19,15.6325,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000977523,0.000977523,0.000977523
20,16.4678,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000976274,0.000976274,0.000976274
21,17.3042,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000975025,0.000975025,0.000975025
22,18.1656,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000973776,0.000973776,0.000973776
23,19.0118,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000972528,0.000972528,0.000972528
24,19.8171,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000971279,0.000971279,0.000971279
25,20.6721,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00097003,0.00097003,0.00097003
26,21.5168,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000968781,0.000968781,0.000968781
27,22.3847,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000967533,0.000967533,0.000967533
28,23.2022,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000966284,0.000966284,0.000966284
29,24.0664,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000965035,0.000965035,0.000965035
30,24.891,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000963786,0.000963786,0.000963786
31,25.7028,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000962538,0.000962538,0.000962538
32,26.5205,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000961289,0.000961289,0.000961289
33,27.3318,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00096004,0.00096004,0.00096004
34,28.1757,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000958791,0.000958791,0.000958791
35,28.9877,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000957542,0.000957542,0.000957542
36,29.847,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000956294,0.000956294,0.000956294
37,30.6536,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000955045,0.000955045,0.000955045
38,31.4762,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000953796,0.000953796,0.000953796
39,32.3007,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000952548,0.000952548,0.000952548
40,33.1261,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000951299,0.000951299,0.000951299
41,33.9236,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00095005,0.00095005,0.00095005
42,34.7453,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000948801,0.000948801,0.000948801
43,35.5616,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000947553,0.000947553,0.000947553
44,36.3846,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000946304,0.000946304,0.000946304
45,37.157,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000945055,0.000945055,0.000945055
46,37.9702,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000943806,0.000943806,0.000943806
47,38.784,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000942558,0.000942558,0.000942558
48,39.6254,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000941309,0.000941309,0.000941309
49,40.4473,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00094006,0.00094006,0.00094006
50,41.2922,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000938811,0.000938811,0.000938811
51,42.144,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000937563,0.000937563,0.000937563
52,42.9859,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.000936314,0.000936314,0.000936314
